beta,B,Df,phi,gamma,P,C,Q_ult
20,2,1,10,17,50,7.5,116.935
20,2,1.5,10,17,50,7.5,130.836
20,2,2,10,17,50,7.5,183.275
20,2,0.5,10,17,75,7.5,94.872
20,2,1,10,17,75,7.5,115.665
20,2,1.5,10,17,75,7.5,130.874
20,2,2,10,17,75,7.5,183.563
20,2,0.5,10,17,100,7.5,94.935
20,2,1,10,17,100,7.5,114.673
20,2,1.5,10,17,100,7.5,131.469
20,2,2,10,17,100,7.5,183.996
20,0.5,0.5,15,17,50,7.5,48.645
20,0.5,0.5,15,17,75,7.5,63.045
20,0.5,0.5,15,17,100,7.5,86.078
20,1,0.5,15,17,50,7.5,77.66
20,1,1,15,17,50,7.5,83.9
20,1,0.5,15,17,75,7.5,72.304
20,1,1,15,17,75,7.5,84.555
20,1,0.5,15,17,100,7.5,91.345
20,1,1,15,17,100,7.5,98.56
20,1.5,0.5,15,17,50,7.5,76.213
20,1.5,1,15,17,50,7.5,98.237
20,1.5,1.5,15,17,50,7.5,207.226
20,1.5,0.5,15,17,75,7.5,76.324
20,1.5,1,15,17,75,7.5,99.7575
20,1.5,1.5,15,17,75,7.5,207.322
20,1.5,0.5,15,17,100,7.5,77.134
20,1.5,1,15,17,100,7.5,98.951
20,1.5,1.5,15,17,100,7.5,207.644
20,2,0.5,15,17,50,7.5,198.265
20,2,1,15,17,50,7.5,220.893
20,2,1.5,15,17,50,7.5,252.921
20,2,2,15,17,50,7.5,296.933
20,2,0.5,15,17,75,7.5,198.288
20,2,1,15,17,75,7.5,220.958
20,2,1.5,15,17,75,7.5,253.321
20,2,2,15,17,75,7.5,296.733
20,2,0.5,15,17,100,7.5,198.346
20,2,1,15,17,100,7.5,221.022
20,2,1.5,15,17,100,7.5,258.977
20,2,2,15,17,100,7.5,296.959
20,0.5,0.5,20,17,50,7.5,51.594
20,0.5,0.5,20,17,75,7.5,69.888
20,0.5,0.5,20,17,100,7.5,85.981
20,1,0.5,20,17,50,7.5,119.44
20,1,1,20,17,50,7.5,156.365
20,1,0.5,20,17,75,7.5,133.5675
20,1,1,20,17,75,7.5,167.6025
20,1,0.5,20,17,100,7.5,134.556
20,1,1,20,17,100,7.5,168.668
20,1.5,0.5,20,17,50,7.5,221.466
20,1.5,1,20,17,50,7.5,277.64
20,1.5,1.5,20,17,50,7.5,338.554
20,1.5,0.5,20,17,75,7.5,221.486
20,1.5,1,20,17,75,7.5,279.198
20,1.5,1.5,20,17,75,7.5,338.896
20,1.5,0.5,20,17,100,7.5,221.542
20,1.5,1,20,17,100,7.5,280.265
20,1.5,1.5,20,17,100,7.5,341.61
20,2,0.5,20,17,50,7.5,302.496
20,2,1,20,17,50,7.5,365.44
20,2,1.5,20,17,50,7.5,423.575
20,2,2,20,17,50,7.5,495.148
20,2,0.5,20,17,75,7.5,302.768
20,2,1,20,17,75,7.5,365.558
20,2,1.5,20,17,75,7.5,423.637
20,2,2,20,17,75,7.5,495.871
20,2,0.5,20,17,100,7.5,302.886
20,2,1,20,17,100,7.5,365.459
20,2,1.5,20,17,100,7.5,423.737
20,2,2,20,17,100,7.5,495.571
20,0.5,0.5,25,17,50,7.5,51.549
20,0.5,0.5,25,17,75,7.5,72.947
20,0.5,0.5,25,17,100,7.5,93.383
20,1,0.5,25,17,50,7.5,161.075
20,1,1,25,17,50,7.5,205.835
20,1,0.5,25,17,75,7.5,161.221
20,1,1,25,17,75,7.5,205.886
20,1,0.5,25,17,100,7.5,162.344
20,1,1,25,17,100,7.5,205.967
20,1.5,0.5,25,17,50,7.5,258.355
20,1.5,1,25,17,50,7.5,357.905
20,1.5,1.5,25,17,50,7.5,410.55
20,1.5,0.5,25,17,75,7.5,258.561
20,1.5,1,25,17,75,7.5,358.112
20,1.5,1.5,25,17,75,7.5,410.567
20,1.5,0.5,25,17,100,7.5,258.672
20,1.5,1,25,17,100,7.5,358.322
20,1.5,1.5,25,17,100,7.5,410.988
20,2,0.5,25,17,50,7.5,459.408
20,2,1,25,17,50,7.5,568.278
20,2,1.5,25,17,50,7.5,656.666
20,2,2,25,17,50,7.5,779.671
20,2,0.5,25,17,75,7.5,459.553
20,2,1,25,17,75,7.5,563.567
20,2,1.5,25,17,75,7.5,664.674
20,2,2,25,17,75,7.5,783.612
20,2,0.5,25,17,100,7.5,459.985
20,2,1,25,17,100,7.5,563.066
20,2,1.5,25,17,100,7.5,665.504
20,2,2,25,17,100,7.5,783.703
20,0.5,0.5,10,19,50,7.5,43.873
20,0.5,0.5,10,19,75,7.5,64.559
20,0.5,0.5,10,19,100,7.5,86.078
20,1,0.5,10,19,50,7.5,49.146
20,1,1,10,19,50,7.5,50.761
20,1,0.5,10,19,75,7.5,64.454
20,1,1,10,19,75,7.5,68.044
20,1,0.5,10,19,100,7.5,86.078
20,1,1,10,19,100,7.5,86.078
20,1.5,0.5,10,19,50,7.5,51.61
20,1.5,1,10,19,50,7.5,52.726
20,1.5,1.5,10,19,50,7.5,52.556
20,1.5,0.5,10,19,75,7.5,72.084
20,1.5,1,10,19,75,7.5,72.043
20,1.5,1.5,10,19,75,7.5,72.68
20,1.5,0.5,10,19,100,7.5,89.779
20,1.5,1,10,19,100,7.5,90.579
20,1.5,1.5,10,19,100,7.5,93.778
20,2,0.5,10,19,50,7.5,94.671
20,2,1,10,19,50,7.5,117.095
20,2,1.5,10,19,50,7.5,131.349
20,2,2,10,19,50,7.5,183.774
20,2,0.5,10,19,75,7.5,95.843
20,2,1,10,19,75,7.5,116.512
20,2,1.5,10,19,75,7.5,131.764
20,2,2,10,19,75,7.5,184.267
20,2,0.5,10,19,100,7.5,95.707
20,2,1,10,19,100,7.5,114.976
20,2,1.5,10,19,100,7.5,132.319
20,2,2,10,19,100,7.5,197.343
20,0.5,0.5,15,19,50,7.5,48.905
20,0.5,0.5,15,19,75,7.5,64.381
20,0.5,0.5,15,19,100,7.5,86.078
20,1,0.5,15,19,50,7.5,84.925
20,1,1,15,19,50,7.5,109.566
20,1,0.5,15,19,75,7.5,84.958
20,1,1,15,19,75,7.5,109.937
20,1,0.5,15,19,100,7.5,91.943
20,1,1,15,19,100,7.5,110.88
20,1.5,0.5,15,19,50,7.5,105.53
20,1.5,1,15,19,50,7.5,180.526
20,1.5,1.5,15,19,50,7.5,208.703
20,1.5,0.5,15,19,75,7.5,106.425
