beta,B,Df,phi,gamma,P,C,Q_ult
40,1.5,0.5,20,19,50,7.5,48.02
40,1.5,1,20,19,50,7.5,79.715
40,1.5,1.5,20,19,50,7.5,112.776
40,1.5,0.5,20,19,75,7.5,64.559
40,1.5,1,20,19,75,7.5,79.845
40,1.5,1.5,20,19,75,7.5,113.262
40,1.5,0.5,20,19,100,7.5,86.078
40,1.5,1,20,19,100,7.5,86.078
40,1.5,1.5,20,19,100,7.5,113.882
40,2,0.5,20,19,50,7.5,68.852
40,2,1,20,19,50,7.5,108.579
40,2,1.5,20,19,50,7.5,151.587
40,2,2,20,19,50,7.5,190.427
40,2,0.5,20,19,75,7.5,75.21
40,2,1,20,19,75,7.5,111.012
40,2,1.5,20,19,75,7.5,152.887
40,2,2,20,19,75,7.5,190.641
40,2,0.5,20,19,100,7.5,86.078
40,2,1,20,19,100,7.5,114.637
40,2,1.5,20,19,100,7.5,152.004
40,2,2,20,19,100,7.5,191.03
40,0.5,0.5,25,19,50,7.5,48.858
40,0.5,0.5,25,19,75,7.5,64.559
40,0.5,0.5,25,19,100,7.5,86.078
40,1,0.5,25,19,50,7.5,54.878
40,1,1,25,19,50,7.5,55.003
40,1,0.5,25,19,75,7.5,71.58
40,1,1,25,19,75,7.5,75.215
40,1,0.5,25,19,100,7.5,86.078
40,1,1,25,19,100,7.5,86.078
40,1.5,0.5,25,19,50,7.5,58.175
40,1.5,1,25,19,50,7.5,97.884
40,1.5,1.5,25,19,50,7.5,173.831
40,1.5,0.5,25,19,75,7.5,78.149
40,1.5,1,25,19,75,7.5,98.611
40,1.5,1.5,25,19,75,7.5,174.333
40,1.5,0.5,25,19,100,7.5,94.66
40,1.5,1,25,19,100,7.5,99.624
40,1.5,1.5,25,19,100,7.5,174.599
40,2,0.5,25,19,50,7.5,118.181
40,2,1,25,19,50,7.5,163.864
40,2,1.5,25,19,50,7.5,261.794
40,2,2,25,19,50,7.5,361.013
40,2,0.5,25,19,75,7.5,118.416
40,2,1,25,19,75,7.5,164.287
40,2,1.5,25,19,75,7.5,261.745
40,2,2,25,19,75,7.5,361.129
40,2,0.5,25,19,100,7.5,118.805
40,2,1,25,19,100,7.5,164.817
40,2,1.5,25,19,100,7.5,263.232
40,2,2,25,19,100,7.5,361.16
40,0.5,0.5,10,21,50,7.5,
40,0.5,0.5,10,21,75,7.5,
40,0.5,0.5,10,21,100,7.5,
40,1,0.5,10,21,50,7.5,
40,1,1,10,21,50,7.5,
40,1,0.5,10,21,75,7.5,
40,1,1,10,21,75,7.5,
40,1,0.5,10,21,100,7.5,
40,1,1,10,21,100,7.5,
40,1.5,0.5,10,21,50,7.5,
40,1.5,1,10,21,50,7.5,
40,1.5,1.5,10,21,50,7.5,
40,1.5,0.5,10,21,75,7.5,
40,1.5,1,10,21,75,7.5,
40,1.5,1.5,10,21,75,7.5,
40,1.5,0.5,10,21,100,7.5,
40,1.5,1,10,21,100,7.5,
40,1.5,1.5,10,21,100,7.5,
40,2,0.5,10,21,50,7.5,
40,2,1,10,21,50,7.5,
40,2,1.5,10,21,50,7.5,
40,2,2,10,21,50,7.5,
40,2,0.5,10,21,75,7.5,
40,2,1,10,21,75,7.5,
40,2,1.5,10,21,75,7.5,
40,2,2,10,21,75,7.5,
40,2,0.5,10,21,100,7.5,
40,2,1,10,21,100,7.5,
40,2,1.5,10,21,100,7.5,
40,2,2,10,21,100,7.5,
40,0.5,0.5,15,21,50,7.5,43.039
40,0.5,0.5,15,21,75,7.5,64.559
40,0.5,0.5,15,21,100,7.5,86.078
40,1,0.5,15,21,50,7.5,43.039
40,1,1,15,21,50,7.5,43.039
40,1,0.5,15,21,75,7.5,64.559
40,1,1,15,21,75,7.5,64.559
40,1,0.5,15,21,100,7.5,86.078
40,1,1,15,21,100,7.5,86.078
40,1.5,0.5,15,21,50,7.5,43.039
40,1.5,1,15,21,50,7.5,43.039
40,1.5,1.5,15,21,50,7.5,43.039
40,1.5,0.5,15,21,75,7.5,64.559
40,1.5,1,15,21,75,7.5,64.559
40,1.5,1.5,15,21,75,7.5,64.559
40,1.5,0.5,15,21,100,7.5,86.078
40,1.5,1,15,21,100,7.5,86.078
40,1.5,1.5,15,21,100,7.5,86.078
40,2,0.5,15,21,50,7.5,43.039
40,2,1,15,21,50,7.5,43.039
40,2,1.5,15,21,50,7.5,43.039
40,2,2,15,21,50,7.5,54.175
40,2,0.5,15,21,75,7.5,64.559
40,2,1,15,21,75,7.5,64.559
40,2,1.5,15,21,75,7.5,64.559
40,2,2,15,21,75,7.5,64.559
40,2,0.5,15,21,100,7.5,86.078
40,2,1,15,21,100,7.5,86.078
40,2,1.5,15,21,100,7.5,86.078
40,2,2,15,21,100,7.5,86.078
40,0.5,0.5,20,21,50,7.5,46.679
40,0.5,0.5,20,21,75,7.5,64.559
40,0.5,0.5,20,21,100,7.5,86.078
40,1,0.5,20,21,50,7.5,46.679
40,1,1,20,21,50,7.5,46.679
40,1,0.5,20,21,75,7.5,64.559
40,1,1,20,21,75,7.5,64.559
40,1,0.5,20,21,100,7.5,86.078
40,1,1,20,21,100,7.5,86.078
40,1.5,0.5,20,21,50,7.5,46.679
40,1.5,1,20,21,50,7.5,77.05
40,1.5,1.5,20,21,50,7.5,118.371
40,1.5,0.5,20,21,75,7.5,64.559
40,1.5,1,20,21,75,7.5,64.559
40,1.5,1.5,20,21,75,7.5,118.736
40,1.5,0.5,20,21,100,7.5,86.078
40,1.5,1,20,21,100,7.5,86.078
40,1.5,1.5,20,21,100,7.5,118.939
40,2,0.5,20,21,50,7.5,69.337
40,2,1,20,21,50,7.5,109.603
40,2,1.5,20,21,50,7.5,148.31
40,2,2,20,21,50,7.5,189.98
40,2,0.5,20,21,75,7.5,69.673
40,2,1,20,21,75,7.5,109.949
40,2,1.5,20,21,75,7.5,148.405
40,2,2,20,21,75,7.5,189.74
40,2,0.5,20,21,100,7.5,86.078
40,2,1,20,21,100,7.5,110.012
40,2,1.5,20,21,100,7.5,148.613
40,2,2,20,21,100,7.5,189.944
40,0.5,0.5,25,21,50,7.5,43.413
40,0.5,0.5,25,21,75,7.5,64.559
40,0.5,0.5,25,21,100,7.5,86.078
40,1,0.5,25,21,50,7.5,55.752
40,1,1,25,21,50,7.5,56.621
40,1,0.5,25,21,75,7.5,67.095
40,1,1,25,21,75,7.5,72.1875
40,1,0.5,25,21,100,7.5,86.078
40,1,1,25,21,100,7.5,86.078
40,1.5,0.5,25,21,50,7.5,59.791
40,1.5,1,25,21,50,7.5,99.302
40,1.5,1.5,25,21,50,7.5,168.032
40,1.5,0.5,25,21,75,7.5,77.81
40,1.5,1,25,21,75,7.5,98.955
40,1.5,1.5,25,21,75,7.5,168.415
40,1.5,0.5,25,21,100,7.5,86.09
40,1.5,1,25,21,100,7.5,99.04
40,1.5,1.5,25,21,100,7.5,168.498
40,2,0.5,25,21,50,7.5,119.384
40,2,1,25,21,50,7.5,161.842
40,2,1.5,25,21,50,7.5,267.806
40,2,2,25,21,50,7.5,364.711
40,2,0.5,25,21,75,7.5,119.739
40,2,1,25,21,75,7.5,162.145
40,2,1.5,25,21,75,7.5,265.692
40,2,2,25,21,75,7.5,368.713
40,2,0.5,25,21,100,7.5,119.837
40,2,1,25,21,100,7.5,162.212
40,2,1.5,25,21,100,7.5,258.953
40,2,2,25,21,100,7.5,368.887
