beta,B,Df,phi,gamma,P,Q_ult
10,2.0,2.0,10,21,100,341.084
10,0.5,0.5,15,21,50,51.706
10,0.5,0.5,15,21,75,68.977
10,0.5,0.5,15,21,100,83.004
10,1.0,0.5,15,21,50,174.283
10,1.0,1.0,15,21,50,225.507
10,1.0,0.5,15,21,75,174.399
10,1.0,1.0,15,21,75,225.524
10,1.0,0.5,15,21,100,174.739
10,1.0,1.0,15,21,100,225.538
10,1.5,0.5,15,21,50,242.458
10,1.5,1.0,15,21,50,317.81
10,1.5,1.5,15,21,50,377.32
10,1.5,0.5,15,21,75,242.473
10,1.5,1.0,15,21,75,317.862
10,1.5,1.5,15,21,75,377.389
10,1.5,0.5,15,21,100,242.266
10,1.5,1.0,15,21,100,318.238
10,1.5,1.5,15,21,100,377.981
10,2.0,0.5,15,21,50,323.377
10,2.0,1.0,15,21,50,416.652
10,2.0,1.5,15,21,50,487.276
10,2.0,2.0,15,21,50,574.857
10,2.0,0.5,15,21,75,323.191
10,2.0,1.0,15,21,75,417.057
10,2.0,1.5,15,21,75,487.386
10,2.0,2.0,15,21,75,574.815
10,2.0,0.5,15,21,100,323.997
10,2.0,1.0,15,21,100,416.877
10,2.0,1.5,15,21,100,487.339
10,2.0,2.0,15,21,100,575.031
10,0.5,0.5,20,21,50,56.068
10,0.5,0.5,20,21,75,74.985
10,0.5,0.5,20,21,100,92.897
10,1.0,0.5,20,21,50,260.163
10,1.0,1.0,20,21,50,327.175
10,1.0,0.5,20,21,75,260.654
10,1.0,1.0,20,21,75,327.32
10,1.0,0.5,20,21,100,260.699
10,1.0,1.0,20,21,100,327.527
10,1.5,0.5,20,21,50,352.711
10,1.5,1.0,20,21,50,468.91
10,1.5,1.5,20,21,50,588.251
10,1.5,0.5,20,21,75,367.379
10,1.5,1.0,20,21,75,468.938
10,1.5,1.5,20,21,75,588.474
10,1.5,0.5,20,21,100,367.511
10,1.5,1.0,20,21,100,468.945
10,1.5,1.5,20,21,100,588.853
10,2.0,0.5,20,21,50,489.085
10,2.0,1.0,20,21,50,632.184
10,2.0,0.5,20,21,75,488.993
10,2.0,1.0,20,21,75,632.283
10,2.0,0.5,20,21,100,489.171
10,2.0,1.0,20,21,100,632.068
10,0.5,0.5,25,21,50,56.556
10,0.5,0.5,25,21,75,77.839
10,0.5,0.5,25,21,100,97.256
10,1.0,0.5,25,21,50,360.348
10,1.0,1.0,25,21,50,487.763
10,1.0,0.5,25,21,75,360.481
10,1.0,1.0,25,21,75,487.768
10,1.0,0.5,25,21,100,360.673
10,1.0,1.0,25,21,100,487.881
10,1.5,0.5,25,21,50,563.837
10,1.5,0.5,25,21,75,564.19
10,1.5,0.5,25,21,100,564.481
20,0.5,0.5,10,17,50,43.518
20,0.5,0.5,10,17,75,51.188
20,0.5,0.5,10,17,100,86.078
20,1.0,0.5,10,17,50,49.828
20,1.0,1.0,10,17,50,50.85
20,1.0,0.5,10,17,75,65.582
20,1.0,1.0,10,17,75,68.303
20,1.0,0.5,10,17,100,82.46
20,1.0,1.0,10,17,100,86.07
20,1.5,0.5,10,17,50,49.993
20,1.5,1.0,10,17,50,58.743
20,1.5,1.5,10,17,50,68.352
20,1.5,0.5,10,17,75,70.42
20,1.5,1.0,10,17,75,71.84
20,1.5,1.5,10,17,75,73.133
20,1.5,0.5,10,17,100,84.614
20,1.5,1.0,10,17,100,90.531
20,1.5,1.5,10,17,100,92.858
20,2.0,0.5,10,17,50,94.76
20,2.0,1.0,10,17,50,116.935
20,2.0,1.5,10,17,50,130.836
20,2.0,2.0,10,17,50,183.275
20,2.0,0.5,10,17,75,94.872
20,2.0,1.0,10,17,75,115.665
20,2.0,1.5,10,17,75,130.874
20,2.0,2.0,10,17,75,183.563
20,2.0,0.5,10,17,100,94.935
20,2.0,1.0,10,17,100,114.673
20,2.0,1.5,10,17,100,131.469
20,2.0,2.0,10,17,100,183.996
20,0.5,0.5,15,17,50,48.645
20,0.5,0.5,15,17,75,63.045
20,0.5,0.5,15,17,100,86.078
20,1.0,0.5,15,17,50,77.66
20,1.0,1.0,15,17,50,83.9
20,1.0,0.5,15,17,75,72.304
20,1.0,1.0,15,17,75,84.555
20,1.0,0.5,15,17,100,91.345
20,1.0,1.0,15,17,100,98.56
20,1.5,0.5,15,17,50,76.213
20,1.5,1.0,15,17,50,98.237
20,1.5,1.5,15,17,50,207.226
20,1.5,0.5,15,17,75,76.324
20,1.5,1.0,15,17,75,99.7575
20,1.5,1.5,15,17,75,207.322
20,1.5,0.5,15,17,100,77.134
20,1.5,1.0,15,17,100,98.951
20,1.5,1.5,15,17,100,207.644
20,2.0,0.5,15,17,50,198.265
20,2.0,1.0,15,17,50,220.893
20,2.0,1.5,15,17,50,252.921
20,2.0,2.0,15,17,50,296.933
20,2.0,0.5,15,17,75,198.288
20,2.0,1.0,15,17,75,220.958
20,2.0,1.5,15,17,75,253.321
20,2.0,2.0,15,17,75,296.733
20,2.0,0.5,15,17,100,198.346
20,2.0,1.0,15,17,100,221.022
20,2.0,1.5,15,17,100,258.977
20,2.0,2.0,15,17,100,296.959
20,0.5,0.5,20,17,50,51.594
20,0.5,0.5,20,17,75,69.888
20,0.5,0.5,20,17,100,85.981
20,1.0,0.5,20,17,50,119.44
20,1.0,1.0,20,17,50,156.365
20,1.0,0.5,20,17,75,133.5675
20,1.0,1.0,20,17,75,167.6025
20,1.0,0.5,20,17,100,134.556
20,1.0,1.0,20,17,100,168.668
20,1.5,0.5,20,17,50,221.466
20,1.5,1.0,20,17,50,277.64
20,1.5,1.5,20,17,50,338.554
20,1.5,0.5,20,17,75,221.486
20,1.5,1.0,20,17,75,279.198
20,1.5,1.5,20,17,75,338.896
20,1.5,0.5,20,17,100,221.542
20,1.5,1.0,20,17,100,280.265
20,1.5,1.5,20,17,100,341.61
20,2.0,0.5,20,17,50,302.496
20,2.0,1.0,20,17,50,365.44
20,2.0,1.5,20,17,50,423.575
20,2.0,2.0,20,17,50,495.148
20,2.0,0.5,20,17,75,302.768
20,2.0,1.0,20,17,75,365.558
20,2.0,1.5,20,17,75,423.637
20,2.0,2.0,20,17,75,495.871
20,2.0,0.5,20,17,100,302.886
20,2.0,1.0,20,17,100,365.459
20,2.0,1.5,20,17,100,423.737
20,2.0,2.0,20,17,100,495.571
20,0.5,0.5,25,17,50,51.549
20,0.5,0.5,25,17,75,72.947
20,0.5,0.5,25,17,100,93.383
20,1.0,0.5,25,17,50,161.075
20,1.0,1.0,25,17,50,205.835
20,1.0,0.5,25,17,75,161.221
20,1.0,1.0,25,17,75,205.886
20,1.0,0.5,25,17,100,162.344
20,1.0,1.0,25,17,100,205.967
20,1.5,0.5,25,17,50,258.355
20,1.5,1.0,25,17,50,357.905
20,1.5,1.5,25,17,50,410.55
20,1.5,0.5,25,17,75,258.561
20,1.5,1.0,25,17,75,358.112
20,1.5,1.5,25,17,75,410.567
20,1.5,0.5,25,17,100,258.672
20,1.5,1.0,25,17,100,358.322
20,1.5,1.5,25,17,100,410.988
20,2.0,0.5,25,17,50,459.408
20,2.0,1.0,25,17,50,568.278
20,2.0,0.5,25,17,75,459.553
20,2.0,1.0,25,17,75,563.567
20,2.0,0.5,25,17,100,459.985
20,2.0,1.0,25,17,100,563.066
20,0.5,0.5,10,19,50,43.873
20,0.5,0.5,10,19,75,64.559
20,0.5,0.5,10,19,100,86.078
20,1.0,0.5,10,19,50,49.146
20,1.0,1.0,10,19,50,50.761
20,1.0,0.5,10,19,75,64.454
20,1.0,1.0,10,19,75,68.044
20,1.0,0.5,10,19,100,86.078
20,1.0,1.0,10,19,100,86.078
20,1.5,0.5,10,19,50,51.61
20,1.5,1.0,10,19,50,52.726
20,1.5,1.5,10,19,50,52.556
20,1.5,0.5,10,19,75,72.084
20,1.5,1.0,10,19,75,72.043
20,1.5,1.5,10,19,75,72.68
20,1.5,0.5,10,19,100,89.779
20,1.5,1.0,10,19,100,90.579
20,1.5,1.5,10,19,100,93.778
20,2.0,0.5,10,19,50,94.671
20,2.0,1.0,10,19,50,117.095
20,2.0,1.5,10,19,50,131.349
20,2.0,2.0,10,19,50,183.774
20,2.0,0.5,10,19,75,95.843
20,2.0,1.0,10,19,75,116.512
20,2.0,1.5,10,19,75,131.764
20,2.0,2.0,10,19,75,184.267
20,2.0,0.5,10,19,100,95.707
20,2.0,1.0,10,19,100,114.976
20,2.0,1.5,10,19,100,132.319
20,2.0,2.0,10,19,100,197.343
20,0.5,0.5,15,19,50,48.905
20,0.5,0.5,15,19,75,64.381
20,0.5,0.5,15,19,100,86.078
20,1.0,0.5,15,19,50,84.925
20,1.0,1.0,15,19,50,109.566
20,1.0,0.5,15,19,75,84.958
20,1.0,1.0,15,19,75,109.937
20,1.0,0.5,15,19,100,91.943
20,1.0,1.0,15,19,100,110.88
20,1.5,0.5,15,19,50,105.53
20,1.5,1.0,15,19,50,180.526
20,1.5,1.5,15,19,50,208.703
20,1.5,0.5,15,19,75,106.425
20,1.5,1.0,15,19,75,180.321
20,1.5,1.5,15,19,75,208.109
20,1.5,0.5,15,19,100,108.41
20,1.5,1.0,15,19,100,180.493
20,1.5,1.5,15,19,100,208.541
20,2.0,0.5,15,19,50,199.982
20,2.0,1.0,15,19,50,221.432
20,2.0,1.5,15,19,50,260.572
20,2.0,2.0,15,19,50,305.192
20,2.0,0.5,15,19,75,200.871
20,2.0,1.0,15,19,75,222.131
20,2.0,1.5,15,19,75,255.258
20,2.0,2.0,15,19,75,305.441
20,2.0,0.5,15,19,100,200.972
20,2.0,1.0,15,19,100,221.526
20,2.0,1.5,15,19,100,259.447
20,2.0,2.0,15,19,100,307.114
20,0.5,0.5,20,19,50,52.244
20,0.5,0.5,20,19,75,70.71
20,0.5,0.5,20,19,100,87.413
20,1.0,0.5,20,19,50,136.185
20,1.0,1.0,20,19,50,172.76
20,1.0,0.5,20,19,75,136.788
20,1.0,1.0,20,19,75,172.931
20,1.0,0.5,20,19,100,137.122
20,1.0,1.0,20,19,100,173.547
20,1.5,0.5,20,19,50,229.766
20,1.5,1.0,20,19,50,296.327
20,1.5,1.5,20,19,50,350.775
20,1.5,0.5,20,19,75,229.104
20,1.5,1.0,20,19,75,296.894
20,1.5,1.5,20,19,75,350.782
20,1.5,0.5,20,19,100,229.626
20,1.5,1.0,20,19,100,296.98
20,1.5,1.5,20,19,100,350.955
20,2.0,0.5,20,19,50,314.413
20,2.0,1.0,20,19,50,383.115
20,2.0,1.5,20,19,50,441.892
20,2.0,2.0,20,19,50,520.13
20,2.0,0.5,20,19,75,314.938
20,2.0,1.0,20,19,75,383.702
20,2.0,1.5,20,19,75,442.014
20,2.0,2.0,20,19,75,520.831
20,2.0,0.5,20,19,100,316.573
20,2.0,1.0,20,19,100,382.831
20,2.0,1.5,20,19,100,441.976
20,2.0,2.0,20,19,100,519.692
20,0.5,0.5,25,19,50,53.309
20,0.5,0.5,25,19,75,74.149
20,0.5,0.5,25,19,100,94.654
20,1.0,0.5,25,19,50,163.575
20,1.0,1.0,25,19,50,208.535
20,1.0,0.5,25,19,75,157.982
20,1.0,1.0,25,19,75,208.633
20,1.0,0.5,25,19,100,163.93
20,1.0,1.0,25,19,100,208.717
20,1.5,0.5,25,19,50,261.111
20,1.5,1.0,25,19,50,361.568
20,1.5,1.5,25,19,50,446.926
20,1.5,0.5,25,19,75,261.465
20,1.5,1.0,25,19,75,362.287
20,1.5,1.5,25,19,75,446.85
20,1.5,0.5,25,19,100,261.95
20,1.5,1.0,25,19,100,362.381
20,1.5,1.5,25,19,100,447.28
20,2.0,0.5,25,19,50,484.613
20,2.0,1.0,25,19,50,600.805
20,2.0,0.5,25,19,75,484.763
20,2.0,1.0,25,19,75,601.295
20,2.0,0.5,25,19,100,484.831
20,2.0,1.0,25,19,100,599.453
20,0.5,0.5,10,21,50,44.605
20,0.5,0.5,10,21,75,64.559
20,0.5,0.5,10,21,100,86.078
