beta,B,Df,phi,gamma,P,Q_ult
40,0.5,0.5,25,17,75,64.559
20,1.0,0.5,25,17,100,162.344
10,1.5,1.0,15,21,50,317.81
30,1.0,1.0,20,21,100,96.946
30,1.5,1.5,25,21,50,325.217
20,1.5,1.5,10,17,75,73.133
30,2.0,2.0,10,21,50,43.039
40,2.0,2.0,15,17,75,73.077
10,2.0,1.5,15,21,75,487.386
30,1.0,1.0,10,21,75,64.559
30,2.0,1.0,25,19,50,336.526
10,1.5,1.5,20,17,50,518.7
10,1.5,1.0,25,17,50,634.002
30,0.5,0.5,10,17,75,64.559
10,1.0,0.5,15,17,50,87.356
40,2.0,2.0,20,19,75,190.641
20,1.5,1.0,15,19,75,180.321
20,1.5,1.0,15,19,50,180.526
40,1.5,0.5,20,17,75,64.559
30,0.5,0.5,15,21,100,86.078
30,1.0,0.5,15,19,75,64.559
10,1.5,1.5,20,17,100,518.681
10,0.5,0.5,25,17,50,54.548
40,2.0,2.0,25,21,100,368.887
10,2.0,0.5,20,17,100,438.947
20,2.0,0.5,15,19,75,200.871
40,2.0,1.0,20,19,75,111.012
40,1.0,1.0,25,21,50,56.621
20,0.5,0.5,15,19,75,64.381
30,1.5,0.5,15,17,100,86.078
40,1.5,1.0,15,17,50,43.039
20,2.0,1.0,25,17,100,563.066
40,1.5,1.5,15,19,75,64.559
30,1.0,0.5,20,17,100,94.773
40,1.0,0.5,25,21,75,67.095
10,1.0,0.5,10,19,75,72.725
40,2.0,1.0,15,17,50,44.575
30,1.5,0.5,10,19,75,64.559
10,0.5,0.5,20,17,100,89.909
10,0.5,0.5,25,21,100,97.256
40,2.0,1.5,25,17,75,252.652
10,1.5,1.0,15,21,75,317.862
10,2.0,1.5,10,21,100,301.642
10,1.5,1.0,15,19,100,303.929
40,1.0,1.0,15,21,50,43.039
20,2.0,0.5,20,17,75,302.768
10,2.0,1.0,10,19,50,247.321
30,0.5,0.5,20,21,75,67.23
10,2.0,2.0,15,21,75,574.815
40,1.5,1.0,20,21,75,64.559
10,1.5,0.5,10,17,50,53.165
20,1.5,1.5,15,19,75,208.109
40,2.0,2.0,10,17,75,64.559
20,1.5,1.5,20,21,75,364.925
20,1.0,1.0,25,17,100,205.967
30,2.0,1.5,20,17,100,247.507
40,1.5,1.5,15,17,75,64.559
20,1.0,1.0,15,21,100,111.604
20,2.0,2.0,15,19,75,305.441
40,2.0,0.5,25,19,50,118.181
10,1.5,0.5,15,19,100,230.183
20,1.0,1.0,25,19,75,208.633
40,2.0,2.0,25,19,50,361.013
20,2.0,1.5,10,21,50,131.496
10,2.0,0.5,20,19,50,464.038
40,1.5,0.5,20,21,100,86.078
30,2.0,2.0,15,19,75,177.376
30,1.5,1.0,15,17,50,54.547
40,2.0,1.5,25,21,75,265.692
10,1.0,0.5,10,17,100,83.675
40,1.0,1.0,20,19,100,86.078
30,1.5,1.0,25,21,100,255.244
20,1.0,1.0,20,17,75,167.6025
20,1.0,1.0,15,17,100,98.56
30,1.0,0.5,20,19,50,54.964
30,0.5,0.5,25,21,75,73.567
10,1.0,0.5,20,21,50,260.163
40,2.0,0.5,10,17,50,43.039
20,2.0,2.0,20,17,50,495.148
30,2.0,0.5,10,21,100,86.078
30,0.5,0.5,20,17,50,48.964
30,0.5,0.5,25,21,50,55.424
20,1.0,1.0,10,21,75,69.101
30,1.5,1.0,20,21,75,155.705
30,1.0,1.0,10,19,75,64.559
40,1.5,0.5,10,17,100,86.078
40,2.0,1.0,15,21,100,86.078
20,1.0,0.5,15,19,75,84.958
20,1.5,0.5,10,21,75,68.912
10,0.5,0.5,15,21,75,68.977
10,1.0,0.5,15,21,50,174.283
40,1.5,0.5,15,19,50,43.039
10,1.5,1.5,10,21,100,239.134
10,2.0,1.0,20,17,50,559.566
10,2.0,1.0,15,19,50,396.028
40,0.5,0.5,20,19,100,86.078
30,2.0,2.0,15,21,50,168.01
30,1.5,1.5,15,17,100,97.304
10,1.0,1.0,15,19,50,215.039
30,1.0,1.0,15,21,50,50.405
20,1.0,0.5,10,19,50,49.146
40,1.5,0.5,20,21,75,64.559
20,1.5,0.5,25,19,75,261.465
40,0.5,0.5,15,17,75,64.559
20,1.5,0.5,25,19,50,261.111
40,1.5,1.5,25,19,100,174.599
20,2.0,0.5,15,17,100,198.346
20,1.0,0.5,25,17,75,161.221
10,0.5,0.5,10,17,50,45.669
20,1.5,0.5,20,17,50,221.466
40,2.0,1.5,15,21,50,43.039
20,1.5,1.0,20,19,50,296.327
40,2.0,2.0,25,17,75,350.343
30,2.0,1.5,10,21,100,86.078
30,2.0,0.5,10,21,75,64.559
30,0.5,0.5,10,21,50,43.039
30,0.5,0.5,10,19,100,86.078
10,1.5,1.0,20,19,75,443.783
20,1.5,0.5,15,19,100,108.41
10,2.0,0.5,10,19,100,202.167
40,1.5,1.0,20,17,100,86.078
20,1.5,1.5,10,21,50,53.695
10,1.0,1.0,25,17,75,257.983
40,2.0,0.5,20,21,50,69.337
10,2.0,0.5,20,19,100,464.091
30,2.0,0.5,20,19,100,160.812
20,1.5,0.5,10,19,50,51.61
10,2.0,0.5,15,21,100,323.997
10,1.5,0.5,20,17,50,318.686
10,0.5,0.5,15,19,100,81.104
20,1.5,0.5,10,17,50,49.993
30,2.0,1.0,10,19,50,43.039
20,1.0,0.5,15,17,75,72.304
40,0.5,0.5,25,21,75,64.559
30,1.5,1.0,15,21,75,84.127
20,1.0,1.0,25,19,50,208.535
30,1.5,1.5,10,19,75,64.559
20,1.5,1.0,20,17,75,279.198
20,0.5,0.5,25,19,50,53.309
40,0.5,0.5,15,21,75,64.559
20,1.5,1.5,15,17,100,207.644
20,1.5,1.0,10,19,100,90.579
10,1.0,0.5,20,19,75,247.468
10,2.0,1.5,10,17,100,278.566
20,2.0,1.0,25,19,75,601.295
10,1.5,0.5,25,19,75,512.131
30,1.0,1.0,25,17,100,100.89
30,0.5,0.5,15,21,50,43.039
10,1.5,1.0,20,19,50,443.59
40,1.5,1.0,20,17,75,70.24
30,2.0,1.0,10,17,50,44.44
10,1.5,1.5,20,19,75,553.754
20,2.0,1.0,25,19,100,599.453
40,2.0,1.0,15,17,100,86.078
30,0.5,0.5,20,19,50,50.852
20,2.0,0.5,20,19,100,316.573
10,1.5,1.0,20,17,75,417.843
40,0.5,0.5,25,21,100,86.078
20,1.0,1.0,20,21,100,178.76
30,2.0,1.5,10,17,75,64.559
10,1.5,0.5,15,21,50,242.458
10,2.0,1.0,10,21,50,256.143
10,1.0,0.5,20,19,50,247.096
10,1.0,0.5,15,19,50,168.266
30,2.0,1.0,10,21,100,86.078
30,1.0,0.5,25,19,75,77.588
40,1.5,0.5,20,17,50,53.07
10,0.5,0.5,25,19,100,96.664
10,1.5,1.5,15,17,50,339.878
30,2.0,2.0,15,17,100,173.93
10,1.5,0.5,10,19,50,55.724
30,2.0,1.5,25,21,75,425.827
20,2.0,1.0,15,21,50,226.881
30,2.0,0.5,25,19,100,262.732
40,2.0,0.5,25,21,100,119.837
40,1.5,1.5,20,21,50,118.371
20,2.0,0.5,20,19,50,314.413
20,1.0,0.5,20,19,50,136.185
10,2.0,1.5,10,17,75,278.555
30,1.0,1.0,25,19,50,64.215
40,0.5,0.5,10,17,75,64.559
30,2.0,2.0,25,19,100,520.971
40,1.5,1.0,25,17,50,99.451
20,1.5,0.5,20,17,100,221.542
30,1.5,1.0,25,21,75,255.135
40,2.0,1.5,15,19,75,64.559
20,0.5,0.5,25,17,100,93.383
40,0.5,0.5,15,21,100,86.078
30,2.0,1.5,20,17,75,247.542
20,2.0,1.0,15,19,50,221.432
10,1.5,0.5,20,21,50,352.711
